,TP,TN,FP,FN,Accuracy_conf,TestSetAccu,CrossValAccu,ERR,EER,FRR,FAR,Sensitivity(TPR),TAR,Specificity(TNR),F-score,k values
0,[6 8 3 8 2 4 7 2 1 2 7 2 6 8 3 0 4 3 1 2 3 5 3 2 4 0 4 4 4 1 2],"[176 175 182 170 178 177 175 179 179 175 178 177 178 173 171 180 179 183
 183 175 176 177 176 179 179 181 177 180 176 178 183]",[0 2 1 7 4 4 2 1 4 4 1 3 1 4 7 4 2 0 0 4 4 2 1 1 0 0 1 1 5 4 1],[4 1 0 1 2 1 2 4 2 5 0 4 1 1 5 2 1 0 2 5 3 2 6 4 3 5 4 1 1 3 0],"[ 0.97849462  0.98387097  0.99462366  0.95698925  0.96774194  0.97311828
  0.97849462  0.97311828  0.96774194  0.9516129   0.99462366  0.96236559
  0.98924731  0.97311828  0.93548387  0.96774194  0.98387097  1.
  0.98924731  0.9516129   0.96236559  0.97849462  0.96236559  0.97311828
  0.98387097  0.97311828  0.97311828  0.98924731  0.96774194  0.96236559
  0.99462366]",0.5967741935483871,0.6263440860215054,"[ 0.02150538  0.01612903  0.00537634  0.04301075  0.03225806  0.02688172
  0.02150538  0.02688172  0.03225806  0.0483871   0.00537634  0.03763441
  0.01075269  0.02688172  0.06451613  0.03225806  0.01612903  0.
  0.01075269  0.0483871   0.03763441  0.02150538  0.03763441  0.02688172
  0.01612903  0.02688172  0.02688172  0.01075269  0.03225806  0.03763441
  0.00537634]",0.011299435028248588,"[ 0.4         0.11111111  0.          0.11111111  0.5         0.2
  0.22222222  0.66666667  0.66666667  0.71428571  0.          0.66666667
  0.14285714  0.11111111  0.625       1.          0.2         0.
  0.66666667  0.71428571  0.5         0.28571429  0.66666667  0.66666667
  0.42857143  1.          0.5         0.2         0.2         0.75        0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.005434782608695652, 0.0054644808743169399, 0.0055248618784530384, 0.0055555555555555558, 0.0055555555555555558, 0.0055865921787709499, 0.0055865921787709499, 0.0056179775280898875, 0.0056497175141242938, 0.011049723756906077, 0.0111731843575419, 0.011299435028248588, 0.011299435028248588, 0.016666666666666666, 0.021739130434782608, 0.02185792349726776, 0.02197802197802198, 0.02197802197802198, 0.022099447513812154, 0.022222222222222223, 0.0223463687150838, 0.0223463687150838, 0.022598870056497175, 0.027624309392265192, 0.039325842696629212, 0.03954802259887006]","[ 0.6         0.88888889  1.          0.88888889  0.5         0.8
  0.77777778  0.33333333  0.33333333  0.28571429  1.          0.33333333
  0.85714286  0.88888889  0.375       0.          0.8         1.
  0.33333333  0.28571429  0.5         0.71428571  0.33333333  0.33333333
  0.57142857  0.          0.5         0.8         0.8         0.25        1.        ]","[ 0.6         0.88888889  1.          0.88888889  0.5         0.8
  0.77777778  0.33333333  0.33333333  0.28571429  1.          0.33333333
  0.85714286  0.88888889  0.375       0.          0.8         1.
  0.33333333  0.28571429  0.5         0.71428571  0.33333333  0.33333333
  0.57142857  0.          0.5         0.8         0.8         0.25        1.        ]","[ 1.          0.98870056  0.99453552  0.96045198  0.97802198  0.97790055
  0.98870056  0.99444444  0.97814208  0.97765363  0.99441341  0.98333333
  0.99441341  0.97740113  0.96067416  0.97826087  0.98895028  1.          1.
  0.97765363  0.97777778  0.98882682  0.99435028  0.99444444  1.          1.
  0.99438202  0.99447514  0.97237569  0.97802198  0.99456522]","[ 0.75        0.84210526  0.85714286  0.66666667  0.4         0.61538462
  0.77777778  0.44444444  0.25        0.30769231  0.93333333  0.36363636
  0.85714286  0.76190476  0.33333333  0.          0.72727273  1.          0.5
  0.30769231  0.46153846  0.71428571  0.46153846  0.44444444  0.72727273
  0.          0.61538462  0.8         0.57142857  0.22222222  0.8       ]",18
1,[9 7 3 7 1 4 6 3 1 1 7 4 7 6 4 0 4 3 2 2 3 4 2 3 3 0 4 4 4 1 2],"[176 175 182 172 176 175 176 174 180 174 177 178 178 173 173 181 180 183
 183 176 176 176 175 179 179 181 177 181 174 181 184]",[0 2 1 5 6 6 1 6 3 5 2 2 1 4 5 3 1 0 0 3 4 3 2 1 0 0 1 0 7 1 0],[1 2 0 2 3 1 3 3 2 6 0 2 0 3 4 2 1 0 1 5 3 3 7 3 4 5 4 1 1 3 0],"[ 0.99462366  0.97849462  0.99462366  0.96236559  0.9516129   0.96236559
  0.97849462  0.9516129   0.97311828  0.94086022  0.98924731  0.97849462
  0.99462366  0.96236559  0.9516129   0.97311828  0.98924731  1.
  0.99462366  0.95698925  0.96236559  0.96774194  0.9516129   0.97849462
  0.97849462  0.97311828  0.97311828  0.99462366  0.95698925  0.97849462
  1.        ]",0.5967741935483871,0.6330645161290323,"[ 0.00537634  0.02150538  0.00537634  0.03763441  0.0483871   0.03763441
  0.02150538  0.0483871   0.02688172  0.05913978  0.01075269  0.02150538
  0.00537634  0.03763441  0.0483871   0.02688172  0.01075269  0.
  0.00537634  0.04301075  0.03763441  0.03225806  0.0483871   0.02150538
  0.02150538  0.02688172  0.02688172  0.00537634  0.04301075  0.02150538
  0.        ]",0.014124293785310734,"[ 0.1         0.22222222  0.          0.22222222  0.75        0.2
  0.33333333  0.5         0.66666667  0.85714286  0.          0.33333333
  0.          0.33333333  0.5         1.          0.2         0.
  0.33333333  0.71428571  0.5         0.42857143  0.77777778  0.5
  0.57142857  1.          0.5         0.2         0.2         0.75        0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0054644808743169399, 0.0054945054945054949, 0.0055248618784530384, 0.0055555555555555558, 0.0055865921787709499, 0.0056179775280898875, 0.0056497175141242938, 0.011111111111111112, 0.0111731843575419, 0.011299435028248588, 0.011299435028248588, 0.016304347826086956, 0.016393442622950821, 0.016759776536312849, 0.016759776536312849, 0.022222222222222223, 0.022598870056497175, 0.027932960893854747, 0.028089887640449437, 0.028248587570621469, 0.032967032967032968, 0.033149171270718231, 0.033333333333333333, 0.038674033149171269]","[ 0.9         0.77777778  1.          0.77777778  0.25        0.8
  0.66666667  0.5         0.33333333  0.14285714  1.          0.66666667
  1.          0.66666667  0.5         0.          0.8         1.
  0.66666667  0.28571429  0.5         0.57142857  0.22222222  0.5
  0.42857143  0.          0.5         0.8         0.8         0.25        1.        ]","[ 0.9         0.77777778  1.          0.77777778  0.25        0.8
  0.66666667  0.5         0.33333333  0.14285714  1.          0.66666667
  1.          0.66666667  0.5         0.          0.8         1.
  0.66666667  0.28571429  0.5         0.57142857  0.22222222  0.5
  0.42857143  0.          0.5         0.8         0.8         0.25        1.        ]","[ 1.          0.98870056  0.99453552  0.97175141  0.96703297  0.96685083
  0.99435028  0.96666667  0.98360656  0.97206704  0.98882682  0.98888889
  0.99441341  0.97740113  0.97191011  0.98369565  0.99447514  1.          1.
  0.98324022  0.97777778  0.98324022  0.98870056  0.99444444  1.          1.
  0.99438202  1.          0.96132597  0.99450549  1.        ]","[ 0.94736842  0.77777778  0.85714286  0.66666667  0.18181818  0.53333333
  0.75        0.4         0.28571429  0.15384615  0.875       0.66666667
  0.93333333  0.63157895  0.47058824  0.          0.8         1.          0.8
  0.33333333  0.46153846  0.57142857  0.30769231  0.6         0.6         0.
  0.61538462  0.88888889  0.5         0.33333333  1.        ]",25
2,"[10  7  3  7  2  4  5  3  1  1  7  5  6  6  4  0  4  2  1  4  3  3  3  2  2
  0  4  4  3  1  2]","[174 175 181 173 176 176 175 175 181 176 177 176 178 172 176 181 179 183
 183 177 176 176 175 178 179 181 175 180 175 182 182]",[2 2 2 4 6 5 2 5 2 3 2 4 1 5 2 3 2 0 0 2 4 3 2 2 0 0 3 1 6 0 2],[0 2 0 2 2 1 4 3 2 6 0 1 1 3 4 2 1 1 2 3 3 4 6 4 5 5 4 1 2 3 0],"[ 0.98924731  0.97849462  0.98924731  0.96774194  0.95698925  0.96774194
  0.96774194  0.95698925  0.97849462  0.9516129   0.98924731  0.97311828
  0.98924731  0.95698925  0.96774194  0.97311828  0.98387097  0.99462366
  0.98924731  0.97311828  0.96236559  0.96236559  0.95698925  0.96774194
  0.97311828  0.97311828  0.96236559  0.98924731  0.95698925  0.98387097
  0.98924731]",0.5860215053763441,0.6586021505376344,"[ 0.01075269  0.02150538  0.01075269  0.03225806  0.04301075  0.03225806
  0.03225806  0.04301075  0.02150538  0.0483871   0.01075269  0.02688172
  0.01075269  0.04301075  0.03225806  0.02688172  0.01612903  0.00537634
  0.01075269  0.02688172  0.03763441  0.03763441  0.04301075  0.03225806
  0.02688172  0.02688172  0.03763441  0.01075269  0.04301075  0.01612903
  0.01075269]",0.013888888888888888,"[ 0.          0.22222222  0.          0.22222222  0.5         0.2
  0.44444444  0.5         0.66666667  0.85714286  0.          0.16666667
  0.14285714  0.33333333  0.5         1.          0.2         0.33333333
  0.66666667  0.42857143  0.5         0.57142857  0.66666667  0.66666667
  0.71428571  1.          0.5         0.2         0.4         0.75        0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0055248618784530384, 0.0055865921787709499, 0.010869565217391304, 0.01092896174863388, 0.01092896174863388, 0.011049723756906077, 0.011111111111111112, 0.0111731843575419, 0.0111731843575419, 0.011235955056179775, 0.011299435028248588, 0.011299435028248588, 0.011299435028248588, 0.011363636363636364, 0.016304347826086956, 0.016759776536312849, 0.016759776536312849, 0.016853932584269662, 0.022222222222222223, 0.022222222222222223, 0.022598870056497175, 0.027624309392265192, 0.027777777777777776, 0.028248587570621469, 0.032967032967032968, 0.033149171270718231]","[ 1.          0.77777778  1.          0.77777778  0.5         0.8
  0.55555556  0.5         0.33333333  0.14285714  1.          0.83333333
  0.85714286  0.66666667  0.5         0.          0.8         0.66666667
  0.33333333  0.57142857  0.5         0.42857143  0.33333333  0.33333333
  0.28571429  0.          0.5         0.8         0.6         0.25        1.        ]","[ 1.          0.77777778  1.          0.77777778  0.5         0.8
  0.55555556  0.5         0.33333333  0.14285714  1.          0.83333333
  0.85714286  0.66666667  0.5         0.          0.8         0.66666667
  0.33333333  0.57142857  0.5         0.42857143  0.33333333  0.33333333
  0.28571429  0.          0.5         0.8         0.6         0.25        1.        ]","[ 0.98863636  0.98870056  0.98907104  0.97740113  0.96703297  0.97237569
  0.98870056  0.97222222  0.98907104  0.98324022  0.98882682  0.97777778
  0.99441341  0.97175141  0.98876404  0.98369565  0.98895028  1.          1.
  0.98882682  0.97777778  0.98324022  0.98870056  0.98888889  1.          1.
  0.98314607  0.99447514  0.96685083  1.          0.98913043]","[ 0.90909091  0.77777778  0.75        0.7         0.33333333  0.57142857
  0.625       0.42857143  0.33333333  0.18181818  0.875       0.66666667
  0.85714286  0.6         0.57142857  0.          0.72727273  0.8         0.5
  0.61538462  0.46153846  0.46153846  0.42857143  0.4         0.44444444
  0.          0.53333333  0.8         0.42857143  0.4         0.66666667]",30
3,[8 7 3 6 3 4 7 1 1 0 6 6 6 7 1 1 4 2 2 5 4 2 3 3 3 2 4 4 5 2 2],"[175 174 182 173 177 177 174 179 179 178 177 174 178 177 174 181 179 181
 183 174 177 178 175 176 179 181 176 180 177 180 183]",[1 3 1 4 5 4 3 1 4 1 2 6 1 0 4 3 2 2 0 5 3 1 2 4 0 0 2 1 4 2 1],[2 2 0 3 1 1 2 5 2 7 1 0 1 2 7 1 1 1 1 2 2 5 6 3 4 3 4 1 0 2 0],"[ 0.98387097  0.97311828  0.99462366  0.96236559  0.96774194  0.97311828
  0.97311828  0.96774194  0.96774194  0.95698925  0.98387097  0.96774194
  0.98924731  0.98924731  0.94086022  0.97849462  0.98387097  0.98387097
  0.99462366  0.96236559  0.97311828  0.96774194  0.95698925  0.96236559
  0.97849462  0.98387097  0.96774194  0.98924731  0.97849462  0.97849462
  0.99462366]",0.6129032258064516,0.678763440860215,"[ 0.01612903  0.02688172  0.00537634  0.03763441  0.03225806  0.02688172
  0.02688172  0.03225806  0.03225806  0.04301075  0.01612903  0.03225806
  0.01075269  0.01075269  0.05913978  0.02150538  0.01612903  0.01612903
  0.00537634  0.03763441  0.02688172  0.03225806  0.04301075  0.03763441
  0.02150538  0.01612903  0.03225806  0.01075269  0.02150538  0.02150538
  0.00537634]",0.011299435028248588,"[ 0.2         0.22222222  0.          0.33333333  0.25        0.2
  0.22222222  0.83333333  0.66666667  1.          0.14285714  0.
  0.14285714  0.22222222  0.875       0.5         0.2         0.33333333
  0.33333333  0.28571429  0.33333333  0.71428571  0.66666667  0.5
  0.57142857  0.6         0.5         0.2         0.          0.5         0.        ]","[0.0, 0.0, 0.0, 0.0, 0.005434782608695652, 0.0054644808743169399, 0.0055248618784530384, 0.0055555555555555558, 0.0055865921787709499, 0.0055865921787709499, 0.0055865921787709499, 0.005681818181818182, 0.01092896174863388, 0.01098901098901099, 0.011049723756906077, 0.0111731843575419, 0.011235955056179775, 0.011299435028248588, 0.016304347826086956, 0.016666666666666666, 0.016949152542372881, 0.016949152542372881, 0.02185792349726776, 0.022099447513812154, 0.022099447513812154, 0.022222222222222223, 0.02247191011235955, 0.022598870056497175, 0.027472527472527472, 0.027932960893854747, 0.033333333333333333]","[ 0.8         0.77777778  1.          0.66666667  0.75        0.8
  0.77777778  0.16666667  0.33333333  0.          0.85714286  1.
  0.85714286  0.77777778  0.125       0.5         0.8         0.66666667
  0.66666667  0.71428571  0.66666667  0.28571429  0.33333333  0.5
  0.42857143  0.4         0.5         0.8         1.          0.5         1.        ]","[ 0.8         0.77777778  1.          0.66666667  0.75        0.8
  0.77777778  0.16666667  0.33333333  0.          0.85714286  1.
  0.85714286  0.77777778  0.125       0.5         0.8         0.66666667
  0.66666667  0.71428571  0.66666667  0.28571429  0.33333333  0.5
  0.42857143  0.4         0.5         0.8         1.          0.5         1.        ]","[ 0.99431818  0.98305085  0.99453552  0.97740113  0.97252747  0.97790055
  0.98305085  0.99444444  0.97814208  0.99441341  0.98882682  0.96666667
  0.99441341  1.          0.97752809  0.98369565  0.98895028  0.98907104
  1.          0.97206704  0.98333333  0.99441341  0.98870056  0.97777778
  1.          1.          0.98876404  0.99447514  0.97790055  0.98901099
  0.99456522]","[ 0.84210526  0.73684211  0.85714286  0.63157895  0.5         0.61538462
  0.73684211  0.25        0.25        0.          0.8         0.66666667
  0.85714286  0.875       0.15384615  0.33333333  0.72727273  0.57142857
  0.8         0.58823529  0.61538462  0.4         0.42857143  0.46153846
  0.6         0.57142857  0.57142857  0.8         0.71428571  0.5         0.8       ]",45
4,[8 7 3 6 2 4 7 1 1 0 7 6 6 7 1 1 3 2 2 5 3 2 4 3 3 2 4 4 5 2 2],"[176 175 182 174 179 176 174 178 177 177 176 176 178 176 175 183 179 181
 183 173 179 177 174 176 179 180 176 180 177 178 183]",[0 2 1 3 3 5 3 2 6 2 3 4 1 1 3 1 2 2 0 6 1 2 3 4 0 1 2 1 4 4 1],[2 2 0 3 2 1 2 5 2 7 0 0 1 2 7 1 2 1 1 2 3 5 5 3 4 3 4 1 0 2 0],"[ 0.98924731  0.97849462  0.99462366  0.96774194  0.97311828  0.96774194
  0.97311828  0.96236559  0.95698925  0.9516129   0.98387097  0.97849462
  0.98924731  0.98387097  0.94623656  0.98924731  0.97849462  0.98387097
  0.99462366  0.95698925  0.97849462  0.96236559  0.95698925  0.96236559
  0.97849462  0.97849462  0.96774194  0.98924731  0.97849462  0.96774194
  0.99462366]",0.6075268817204301,0.6908602150537635,"[ 0.01075269  0.02150538  0.00537634  0.03225806  0.02688172  0.03225806
  0.02688172  0.03763441  0.04301075  0.0483871   0.01612903  0.02150538
  0.01075269  0.01612903  0.05376344  0.01075269  0.02150538  0.01612903
  0.00537634  0.04301075  0.02150538  0.03763441  0.04301075  0.03763441
  0.02150538  0.02150538  0.03225806  0.01075269  0.02150538  0.03225806
  0.00537634]",0.011111111111111112,"[ 0.2         0.22222222  0.          0.33333333  0.5         0.2
  0.22222222  0.83333333  0.66666667  1.          0.          0.
  0.14285714  0.22222222  0.875       0.5         0.4         0.33333333
  0.33333333  0.28571429  0.5         0.71428571  0.55555556  0.5
  0.57142857  0.6         0.5         0.2         0.          0.5         0.        ]","[0.0, 0.0, 0.0, 0.005434782608695652, 0.005434782608695652, 0.0054644808743169399, 0.0055248618784530384, 0.0055248618784530384, 0.0055555555555555558, 0.0055865921787709499, 0.0056497175141242938, 0.01092896174863388, 0.011049723756906077, 0.011111111111111112, 0.0111731843575419, 0.0111731843575419, 0.011235955056179775, 0.011299435028248588, 0.016483516483516484, 0.016759776536312849, 0.016853932584269662, 0.016949152542372881, 0.016949152542372881, 0.016949152542372881, 0.02197802197802198, 0.022099447513812154, 0.022222222222222223, 0.022222222222222223, 0.027624309392265192, 0.032786885245901641, 0.033519553072625698]","[ 0.8         0.77777778  1.          0.66666667  0.5         0.8
  0.77777778  0.16666667  0.33333333  0.          1.          1.
  0.85714286  0.77777778  0.125       0.5         0.6         0.66666667
  0.66666667  0.71428571  0.5         0.28571429  0.44444444  0.5
  0.42857143  0.4         0.5         0.8         1.          0.5         1.        ]","[ 0.8         0.77777778  1.          0.66666667  0.5         0.8
  0.77777778  0.16666667  0.33333333  0.          1.          1.
  0.85714286  0.77777778  0.125       0.5         0.6         0.66666667
  0.66666667  0.71428571  0.5         0.28571429  0.44444444  0.5
  0.42857143  0.4         0.5         0.8         1.          0.5         1.        ]","[ 1.          0.98870056  0.99453552  0.98305085  0.98351648  0.97237569
  0.98305085  0.98888889  0.96721311  0.98882682  0.98324022  0.97777778
  0.99441341  0.99435028  0.98314607  0.99456522  0.98895028  0.98907104
  1.          0.96648045  0.99444444  0.98882682  0.98305085  0.97777778
  1.          0.99447514  0.98876404  0.99447514  0.97790055  0.97802198
  0.99456522]","[ 0.88888889  0.77777778  0.85714286  0.66666667  0.44444444  0.57142857
  0.73684211  0.22222222  0.2         0.          0.82352941  0.75
  0.85714286  0.82352941  0.16666667  0.5         0.6         0.57142857
  0.8         0.55555556  0.6         0.36363636  0.5         0.46153846
  0.6         0.5         0.57142857  0.8         0.71428571  0.4         0.8       ]",55
5,[7 8 3 7 1 4 4 1 1 2 7 5 5 8 2 1 3 2 3 4 3 4 4 3 3 4 4 5 3 2 2],"[174 175 183 174 180 178 174 178 177 176 176 174 179 176 174 182 179 182
 183 176 180 175 176 176 178 181 175 180 176 179 183]",[2 2 0 3 2 3 3 2 6 3 3 6 0 1 4 2 2 1 0 3 0 4 1 4 1 0 3 1 5 3 1],[3 1 0 2 3 1 5 5 2 5 0 1 2 1 6 1 2 1 0 3 3 3 5 3 4 1 4 0 2 2 0],"[ 0.97311828  0.98387097  1.          0.97311828  0.97311828  0.97849462
  0.95698925  0.96236559  0.95698925  0.95698925  0.98387097  0.96236559
  0.98924731  0.98924731  0.94623656  0.98387097  0.97849462  0.98924731
  1.          0.96774194  0.98387097  0.96236559  0.96774194  0.96236559
  0.97311828  0.99462366  0.96236559  0.99462366  0.96236559  0.97311828
  0.99462366]",0.6182795698924731,0.6693548387096774,"[ 0.02688172  0.01612903  0.          0.02688172  0.02688172  0.02150538
  0.04301075  0.03763441  0.04301075  0.04301075  0.01612903  0.03763441
  0.01075269  0.01075269  0.05376344  0.01612903  0.02150538  0.01075269
  0.          0.03225806  0.01612903  0.03763441  0.03225806  0.03763441
  0.02688172  0.00537634  0.03763441  0.00537634  0.03763441  0.02688172
  0.00537634]",0.0111731843575419,"[ 0.3         0.11111111  0.          0.22222222  0.75        0.2
  0.55555556  0.83333333  0.66666667  0.71428571  0.          0.16666667
  0.28571429  0.11111111  0.75        0.5         0.4         0.33333333
  0.          0.42857143  0.5         0.42857143  0.55555556  0.5
  0.57142857  0.2         0.5         0.          0.4         0.5         0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.005434782608695652, 0.0054644808743169399, 0.0055248618784530384, 0.0055865921787709499, 0.0056497175141242938, 0.0056497175141242938, 0.010869565217391304, 0.01098901098901099, 0.011049723756906077, 0.011111111111111112, 0.011299435028248588, 0.011363636363636364, 0.016483516483516484, 0.016574585635359115, 0.016759776536312849, 0.016759776536312849, 0.016759776536312849, 0.016853932584269662, 0.016949152542372881, 0.016949152542372881, 0.022222222222222223, 0.0223463687150838, 0.02247191011235955, 0.027624309392265192, 0.032786885245901641, 0.033333333333333333]","[ 0.7         0.88888889  1.          0.77777778  0.25        0.8
  0.44444444  0.16666667  0.33333333  0.28571429  1.          0.83333333
  0.71428571  0.88888889  0.25        0.5         0.6         0.66666667
  1.          0.57142857  0.5         0.57142857  0.44444444  0.5
  0.42857143  0.8         0.5         1.          0.6         0.5         1.        ]","[ 0.7         0.88888889  1.          0.77777778  0.25        0.8
  0.44444444  0.16666667  0.33333333  0.28571429  1.          0.83333333
  0.71428571  0.88888889  0.25        0.5         0.6         0.66666667
  1.          0.57142857  0.5         0.57142857  0.44444444  0.5
  0.42857143  0.8         0.5         1.          0.6         0.5         1.        ]","[ 0.98863636  0.98870056  1.          0.98305085  0.98901099  0.98342541
  0.98305085  0.98888889  0.96721311  0.98324022  0.98324022  0.96666667
  1.          0.99435028  0.97752809  0.98913043  0.98895028  0.99453552
  1.          0.98324022  1.          0.97765363  0.99435028  0.97777778
  0.99441341  1.          0.98314607  0.99447514  0.97237569  0.98351648
  0.99456522]","[ 0.73684211  0.84210526  1.          0.73684211  0.28571429  0.66666667
  0.5         0.22222222  0.2         0.33333333  0.82352941  0.58823529
  0.83333333  0.88888889  0.28571429  0.4         0.6         0.66666667
  1.          0.57142857  0.66666667  0.53333333  0.57142857  0.46153846
  0.54545455  0.88888889  0.53333333  0.90909091  0.46153846  0.44444444
  0.8       ]",70
6,[7 9 2 5 2 4 4 1 0 1 6 4 5 6 1 2 4 2 3 3 4 4 4 5 3 3 5 3 4 2 2],"[174 172 182 173 179 177 174 174 176 177 177 175 177 176 174 182 177 183
 183 173 179 179 176 177 179 181 176 180 177 182 183]",[2 5 1 4 3 4 3 6 7 2 2 5 2 1 4 2 4 0 0 6 1 0 1 3 0 0 2 1 4 0 1],[3 0 1 4 2 1 5 5 3 6 1 2 2 3 7 0 1 1 0 4 2 3 5 1 4 2 3 2 1 2 0],"[ 0.97311828  0.97311828  0.98924731  0.95698925  0.97311828  0.97311828
  0.95698925  0.94086022  0.94623656  0.95698925  0.98387097  0.96236559
  0.97849462  0.97849462  0.94086022  0.98924731  0.97311828  0.99462366
  1.          0.94623656  0.98387097  0.98387097  0.96774194  0.97849462
  0.97849462  0.98924731  0.97311828  0.98387097  0.97311828  0.98924731
  0.99462366]",0.5913978494623656,0.6236559139784946,"[ 0.02688172  0.02688172  0.01075269  0.04301075  0.02688172  0.02688172
  0.04301075  0.05913978  0.05376344  0.04301075  0.01612903  0.03763441
  0.02150538  0.02150538  0.05913978  0.01075269  0.02688172  0.00537634
  0.          0.05376344  0.01612903  0.01612903  0.03225806  0.02150538
  0.02150538  0.01075269  0.02688172  0.01612903  0.02688172  0.01075269
  0.00537634]",0.014124293785310734,"[ 0.3         0.          0.33333333  0.44444444  0.5         0.2
  0.55555556  0.83333333  1.          0.85714286  0.14285714  0.33333333
  0.28571429  0.33333333  0.875       0.          0.2         0.33333333
  0.          0.57142857  0.33333333  0.42857143  0.55555556  0.16666667
  0.57142857  0.4         0.375       0.4         0.2         0.5         0.        ]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.005434782608695652, 0.0054644808743169399, 0.0055248618784530384, 0.0055555555555555558, 0.0056497175141242938, 0.0056497175141242938, 0.010869565217391304, 0.0111731843575419, 0.0111731843575419, 0.0111731843575419, 0.011235955056179775, 0.011363636363636364, 0.016483516483516484, 0.016666666666666666, 0.016949152542372881, 0.022099447513812154, 0.022099447513812154, 0.022099447513812154, 0.02247191011235955, 0.022598870056497175, 0.027777777777777776, 0.028248587570621469, 0.033333333333333333, 0.033519553072625698, 0.03825136612021858]","[ 0.7         1.          0.66666667  0.55555556  0.5         0.8
  0.44444444  0.16666667  0.          0.14285714  0.85714286  0.66666667
  0.71428571  0.66666667  0.125       1.          0.8         0.66666667
  1.          0.42857143  0.66666667  0.57142857  0.44444444  0.83333333
  0.42857143  0.6         0.625       0.6         0.8         0.5         1.        ]","[ 0.7         1.          0.66666667  0.55555556  0.5         0.8
  0.44444444  0.16666667  0.          0.14285714  0.85714286  0.66666667
  0.71428571  0.66666667  0.125       1.          0.8         0.66666667
  1.          0.42857143  0.66666667  0.57142857  0.44444444  0.83333333
  0.42857143  0.6         0.625       0.6         0.8         0.5         1.        ]","[ 0.98863636  0.97175141  0.99453552  0.97740113  0.98351648  0.97790055
  0.98305085  0.96666667  0.96174863  0.98882682  0.98882682  0.97222222
  0.98882682  0.99435028  0.97752809  0.98913043  0.97790055  1.          1.
  0.96648045  0.99444444  1.          0.99435028  0.98333333  1.          1.
  0.98876404  0.99447514  0.97790055  1.          0.99456522]","[ 0.73684211  0.7826087   0.66666667  0.55555556  0.44444444  0.61538462
  0.5         0.15384615  0.          0.2         0.8         0.53333333
  0.71428571  0.75        0.15384615  0.66666667  0.61538462  0.8         1.
  0.375       0.72727273  0.72727273  0.57142857  0.71428571  0.6         0.75
  0.66666667  0.66666667  0.61538462  0.66666667  0.8       ]",all
